Timestamp,"On a scale of 1 (very easy) to 5 (very difficult), how would you rate the difficulty of this lab?",In the following piece of code identify the function and the argument.,How many arguments does the following piece of code have?,"Look back at your lab handout, is the R code in single green color or in multiple colors?","Make up a unique identifier for yourself. This identifier can be comprised of letters, numbers, special characters, etc. Enter it in the space below and make sure you take note of it because you'll be asked to enter the same identifier again next week."
8/30/2012 9:32:18,2,"function: names, argument: present",3,code in multiple colors,2436
8/30/2012 9:33:44,2,"function: names, argument: present",3,code in multiple colors,bluedevils24
8/30/2012 9:35:06,2,"function: names, argument: present",3,code in multiple colors,ces15
8/30/2012 9:42:06,2,"function: names, argument: present",3,code in single green color,3hahaha
8/30/2012 9:43:22,2,"function: names, argument: present",2,code in multiple colors,BlueDevilPres
8/30/2012 9:44:13,2,"function: names, argument: present",2,code in multiple colors,9
8/30/2012 9:44:18,3,"function: present, argument: names",2,code in multiple colors,1501aaa
8/30/2012 9:44:31,2,"function: names, argument: present",3,code in multiple colors,$trawz
8/30/2012 9:44:48,3,"function: names, argument: present",2,code in multiple colors,jb11596
8/30/2012 9:44:59,2,"function: names, argument: present",3,code in multiple colors,abcd7890
8/30/2012 9:45:41,2,"function: names, argument: present",3,code in multiple colors,2679
8/30/2012 9:46:41,2,"function: present, argument: names",1,code in single green color,Okie92
8/30/2012 9:46:56,1,"function: names, argument: present",2,code in single green color,1313
8/30/2012 9:47:00,2,"function: names, argument: present",3,code in single green color,dfg356
8/30/2012 9:47:22,2,"function: names, argument: present",3,code in single green color,wpb29
8/30/2012 9:47:58,3,"function: names, argument: present",3,code in single green color,MIA305
8/30/2012 11:06:16,1,"function: names, argument: present",2,code in multiple colors,Mark Chee
8/30/2012 11:06:19,2,"function: names, argument: present",3,code in single green color,dx5
8/30/2012 11:06:20,3,"function: names, argument: present",2,code in multiple colors,17ils
8/30/2012 11:06:38,1,"function: names, argument: present",2,code in multiple colors,nyctorex831
8/30/2012 11:06:40,2,"function: names, argument: present",2,code in multiple colors,jellyfish
8/30/2012 11:07:35,2,"function: present, argument: names",2,code in single green color,rndm
8/30/2012 11:07:49,2,"function: names, argument: present",2,code in single green color,Gesundheit
8/30/2012 11:08:08,2,"function: names, argument: present",2,code in single green color,stark
8/30/2012 11:09:12,3,"function: present, argument: names",2,code in multiple colors,hpluvr22
